chain_name,product_family,brand_flavor,store_state,week_ending,brand_units_per_package,package_sales,dollar_sales,selling_stores
Retailer C,Brand Two,Flavored,CO,2019-03-02,2,280.000000,3765.200000,172
Retailer A,Brand Three,Flavored,PA,2019-03-30,2,6651.000000,79745.490000,218
Retailer A,Brand Three,Classic,FL,2019-01-26,2,334.000000,3336.660000,152
Retailer A,Brand One,Flavored,PA,2019-04-13,4,8946.000000,196722.540000,222
Retailer C,Brand One,Classic,CO,2019-01-05,4,987.000000,19730.130000,179
Retailer A,Brand One,Flavored,VA,2019-04-13,4,2925.000000,52620.750000,86
Retailer C,Brand Two,Flavored,CO,2019-04-27,2,341.000000,4576.110000,176
Retailer B,Brand One,Flavored,SD,2019-05-04,2,53.000000,529.470000,9
Retailer A,Brand One,Flavored,NJ,2019-04-27,2,3390.000000,40646.100000,234
Retailer B,Brand Two,Classic,NE,2019-05-25,2,13.000000,175.370000,17
Retailer A,Brand One,Mint,NJ,2019-04-06,4,288.000000,5181.120000,118
Retailer B,Brand Two,Mint,IA,2019-01-05,2,197.000000,2647.520000,89
Retailer A,Brand One,Classic,FL,2019-01-26,4,1057.000000,19015.430000,157
Retailer B,Brand Two,Classic,ND,2019-03-02,2,9.000000,121.410000,5
Retailer C,Brand One,Classic,NM,2019-03-30,4,258.000000,4125.420000,77
Retailer B,Brand One,Mint,MO,2019-05-18,4,167.000000,2670.330000,69
Retailer B,Brand Two,Classic,MO,2019-05-18,2,66.000000,888.630000,58
Retailer A,Brand One,Flavored,PA,2019-08-24,2,2631.000000,37596.990000,207
Retailer A,Brand One,Flavored,MD,2019-10-05,2,699.000000,8381.010000,50
Retailer B,Brand One,Classic,IA,2019-07-13,2,181.000000,1808.190000,102
Retailer B,Brand Two,Classic,MO,2019-07-06,2,79.000000,997.500000,61
Retailer C,Brand Two,Mint,OK,2019-06-22,2,91.000000,1227.590000,47
Retailer C,Brand One,Classic,NM,2019-08-24,2,105.000000,1258.950000,73
Retailer B,Brand One,Classic,AR,2019-08-03,2,119.000000,1188.810000,48
Retailer B,Brand One,Classic,CO,2019-06-01,2,174.000000,1738.260000,64
Retailer C,Brand Two,Flavored,OK,2019-05-18,2,72.000000,971.280000,39
Retailer C,Brand Two,Mint,OK,2019-06-29,2,77.000000,1035.370000,47
Retailer A,Brand Three,Flavored,MD,2019-06-01,2,3488.000000,34843.020000,49
Retailer B,Brand Two,Classic,IA,2019-08-31,2,101.000000,1250.490000,87
Retailer A,Brand Two,Flavored,PA,2019-08-31,2,747.000000,14125.130000,223
Retailer B,Brand One,Flavored,IA,2019-08-31,2,1149.000000,11478.510000,103
Retailer A,Brand Three,Mint,DE,2019-09-28,2,599.000000,5984.010000,40
Retailer B,Brand One,Mint,MO,2019-07-06,4,150.000000,2398.500000,68
Retailer A,Brand Two,Flavored,DE,2019-05-11,2,80.000000,1058.190000,37
Retailer B,Brand One,Classic,ND,2019-08-10,2,23.000000,229.770000,10
Retailer C,Brand Three,Flavored,OK,2019-08-17,2,2166.000000,21638.340000,47
Retailer C,Brand One,Classic,TX,2019-08-31,4,140.000000,2223.900000,69
Retailer C,Brand Three,Classic,CO,2019-05-11,2,261.000000,2607.390000,155
Retailer B,Brand One,Classic,NE,2019-09-28,2,32.000000,319.680000,18
Retailer A,Brand Two,Classic,FL,2019-10-05,2,637.000000,8428.160000,188
Retailer B,Brand One,Flavored,OK,2019-08-24,4,1060.000000,16949.400000,47
Retailer C,Brand One,Mint,TX,2019-06-15,2,118.000000,1178.820000,68
Retailer A,Brand One,Mint,VA,2019-08-24,2,160.000000,1918.400000,84
Retailer C,Brand One,Mint,CO,2019-10-19,4,594.000000,9498.060000,176
Retailer B,Brand Three,Mint,IA,2019-10-19,2,496.000000,4955.040000,101
Retailer B,Brand Three,Flavored,CO,2019-08-31,2,2865.000000,28621.350000,64
Retailer A,Brand One,Mint,FL,2019-10-05,4,535.000000,9624.650000,185
Retailer A,Brand Two,Mint,NJ,2019-10-19,2,1055.000000,14750.490000,238
Retailer B,Brand One,Mint,MO,2019-11-30,4,305.000000,4876.950000,69
Retailer A,Brand One,Flavored,PA,2019-11-02,4,8931.000000,196392.690000,208
Retailer B,Brand One,Mint,IA,2019-09-07,2,89.000000,889.110000,100
Retailer B,Brand Three,Mint,CO,2019-09-07,2,466.000000,4655.340000,64
Retailer A,Brand Two,Mint,NJ,2019-09-07,2,458.000000,6396.420000,208
Retailer C,Brand One,Classic,NM,2019-10-19,4,167.000000,3338.330000,77
Retailer B,Brand One,Classic,CO,2019-08-24,2,177.000000,1768.230000,63
Retailer A,Brand Three,Flavored,PA,2019-12-07,2,15377.000000,184370.230000,232
Retailer A,Brand Two,Mint,NJ,2020-01-04,2,95.000000,1329.050000,246
Retailer A,Brand One,Mint,MD,2019-10-26,4,247.000000,4443.530000,50
Retailer A,Brand Two,Mint,DE,2020-01-11,2,9.000000,121.410000,42
Retailer B,Brand One,Mint,MO,2019-10-19,2,96.000000,959.040000,67
Retailer C,Brand One,Mint,NM,2019-11-09,4,107.000000,2138.930000,71
Retailer B,Brand Two,Mint,IA,2019-12-07,2,476.000000,6270.630000,101
Retailer B,Brand Three,Mint,MO,2019-11-30,2,453.000000,4525.470000,66
Retailer C,Brand Three,Mint,TX,2020-03-28,2,978.000000,9758.040000,70
Retailer B,Brand Two,Classic,CO,2020-02-01,2,500.000000,6003.140000,68
Retailer A,Brand Three,Flavored,FL,2020-03-21,2,,,167
Retailer B,Brand Two,Classic,AR,2020-04-04,2,191.000000,2570.090000,49
Retailer A,Brand One,Mint,DE,2020-04-25,2,463.000000,5551.370000,42
Retailer C,Brand One,Mint,TX,2019-12-07,4,346.000000,5512.520000,69
Retailer A,Brand Two,Flavored,DE,2020-03-14,2,0.000000,0.000000,28
Retailer A,Brand One,Classic,FL,2019-02-23,4,1124.000000,20220.760000,161
Retailer B,Brand One,Flavored,MN,2019-01-12,4,18.000000,467.820000,2
Retailer B,Brand One,Flavored,MO,2019-03-30,4,1965.000000,31420.350000,70
Retailer A,Brand One,Classic,PA,2019-01-05,4,2140.000000,47058.600000,204
Retailer A,Brand Three,Mint,PA,2019-05-11,2,2413.000000,28931.870000,227
Retailer C,Brand One,Flavored,OK,2019-03-30,2,456.000000,4555.440000,47
Retailer B,Brand One,Flavored,CO,2019-04-27,4,2993.000000,47858.070000,65
Retailer B,Brand Two,Classic,CO,2019-01-19,2,87.000000,1173.630000,61
Retailer C,Brand Two,Mint,NM,2019-03-16,2,58.000000,782.420000,65
Retailer A,Brand Three,Flavored,FL,2019-05-25,2,8481.000000,84725.190000,176
Retailer A,Brand Three,Classic,FL,2019-02-23,2,729.000000,7277.010000,165
Retailer A,Brand Two,Classic,MD,2019-05-18,2,112.000000,1474.390000,51
Retailer B,Brand One,Flavored,AR,2019-02-09,4,3930.000000,62840.700000,48
Retailer C,Brand One,Flavored,TX,2019-01-26,2,531.000000,6933.720000,69
Retailer A,Brand Three,Mint,FL,2019-02-02,2,835.000000,8337.650000,164
Retailer C,Brand One,Flavored,TX,2019-05-04,4,1172.000000,18710.380000,72
Retailer A,Brand Three,Mint,PA,2019-03-02,2,1580.000000,18944.200000,216
Retailer A,Brand Two,Flavored,VA,2019-04-27,2,243.000000,3257.030000,85
Retailer A,Brand One,Flavored,FL,2019-03-23,4,5812.000000,104547.920000,163
Retailer B,Brand Two,Mint,AR,2019-04-06,2,81.000000,1092.690000,48
Retailer A,Brand Three,Flavored,FL,2019-01-12,2,984.000000,9821.160000,160
Retailer A,Brand Two,Flavored,MD,2019-04-20,2,211.000000,2825.390000,50
Retailer A,Brand One,Classic,VA,2019-01-05,4,679.000000,12215.210000,84
Retailer C,Brand One,Mint,NM,2019-02-09,2,189.000000,1888.110000,72
Retailer C,Brand One,Flavored,NM,2019-05-04,2,563.000000,5624.370000,73
Retailer C,Brand One,Mint,NM,2019-04-20,2,112.000000,1118.880000,74
Retailer B,Brand One,Classic,MO,2019-05-25,4,327.000000,5227.730000,71
Retailer A,Brand Three,Flavored,FL,2019-07-20,2,11867.000000,118551.330000,185
Retailer B,Brand One,Flavored,AR,2019-08-17,4,3239.000000,51791.610000,49
Retailer A,Brand Two,Flavored,MD,2019-08-17,2,392.000000,5267.100000,51
Retailer A,Brand One,Mint,NJ,2019-07-13,4,1607.000000,28909.930000,236
Retailer B,Brand Two,Classic,OK,2019-07-20,2,49.000000,566.510000,41
Retailer C,Brand One,Flavored,CO,2019-06-15,4,8024.000000,128263.760000,182
Retailer A,Brand One,Classic,FL,2019-06-22,4,1441.000000,25923.590000,179
Retailer B,Brand Three,Flavored,OK,2019-07-06,2,2173.000000,21708.270000,46
Retailer A,Brand Three,Mint,NJ,2019-07-13,2,3068.000000,30645.360000,247
Retailer B,Brand One,Mint,MO,2019-06-01,2,75.000000,749.250000,66
Retailer B,Brand Three,Flavored,OK,2019-07-27,2,2367.000000,23646.330000,46
Retailer A,Brand One,Mint,MD,2019-06-29,2,114.000000,1366.860000,50
Retailer C,Brand One,Flavored,NM,2019-08-24,4,863.000000,17231.350000,78
Retailer B,Brand Two,Flavored,MO,2019-09-07,2,146.000000,1948.330000,67
Retailer A,Brand Two,Flavored,FL,2019-08-03,2,615.000000,8257.890000,185
Retailer A,Brand Two,Mint,MD,2019-09-14,2,233.000000,3143.170000,51
Retailer C,Brand Two,Classic,CO,2019-10-05,2,424.000000,5626.780000,174
Retailer B,Brand Two,Classic,MO,2019-08-31,2,77.000000,944.230000,62
Retailer B,Brand Two,Classic,OK,2019-12-28,2,171.000000,1949.810000,46
Retailer B,Brand One,Classic,NE,2019-11-02,4,105.000000,1678.950000,18
Retailer B,Brand One,Flavored,IA,2019-10-19,4,4035.000000,64513.800000,105
